pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HD 20781,e,HD 20781 e,Radial Velocity,0,4,85.5073,0.0983,-0.0947,0,0.3374,0.0155,-0.017,0,0.06,0.06,-0.04,0,,,,0,0.0442,0.0049,-0.0049,0,Msini,,,,0,,,,0,0,0,0,0,03h20m02.94s,50.01226,-28d47m01.8s,-28.783834,35.37,1.35,-1.35,0,36.01,0.05,-0.05,0,8.48,,0,V (Johnson),8.237,,0,5256,29,-29,0,0.7,,,0,,,,0,2/7/2019,La Silla Observatory
HD 20782,b,HD 20782 b,Radial Velocity,0,1,597.0643,0.0256,-0.0256,0,1.3649,0.0466,-0.0495,0,0.95,0.001,-0.001,0,,,,0,1.4878,0.1045,-0.1066,0,Msini,,,,0,,,,0,0,0,0,0,03h20m03.58s,50.014908,-28d51m14.7s,-28.854071,36.02,0.04,-0.04,0,36.02,0.04,-0.04,0,7.4,,0,V (Johnson),7.193,,0,5790,15,-15,0,1.07,0.07,-0.07,0,1.11,0.01,-0.01,0,2/7/2019,Anglo-Australian Telescope
HD 207832,b,HD 207832 b,Radial Velocity,0,2,160.07,0.23,-0.23,0,0.586,0.032,-0.032,0,0.197,0.053,-0.053,0,,,,0,0.56,0.091,-0.091,0,Msini,,,,0,,,,0,0,0,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.02656,59.03,0.15,-0.15,0,59.03,0.15,-0.15,0,8.78,,0,V (Johnson),8.612,,0,5726,,,0,1.05,0.17,-0.17,0,0.89,0.05,-0.05,0,9/27/2018,W. M. Keck Observatory
HD 207832,c,HD 207832 c,Radial Velocity,0,2,1155.7,71.9,-37,0,2.112,0.087,-0.045,0,0.27,0.22,-0.1,0,,,,,0.73,0.18,-0.05,0,Msini,,,,,,,,,0,0,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.02656,59.03,0.15,-0.15,0,59.03,0.15,-0.15,0,8.78,,0,V (Johnson),8.612,,0,5726,,,0,1.05,0.17,-0.17,0,0.89,0.05,-0.05,0,9/10/2015,W. M. Keck Observatory
HD 20794,b,HD 20794 b,Radial Velocity,0,4,18.315,0.008,-0.008,0,0.1207,0.002,-0.002,0,0,,,0,90,,,0,0.0085,0.0009,-0.0009,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6,0.01,-0.01,0,6,0.01,-0.01,0,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,0.7,,,0,,,,,8/27/2015,La Silla Observatory
HD 20794,c,HD 20794 c,Radial Velocity,0,4,40.114,0.053,-0.053,0,0.2036,0.0034,-0.0034,0,0,,,0,90,,,0,0.0076,0.0013,-0.0013,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6,0.01,-0.01,0,6,0.01,-0.01,0,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,0.7,,,0,,,,,8/27/2015,La Silla Observatory
HD 20794,d,HD 20794 d,Radial Velocity,0,4,90.309,0.184,-0.184,0,0.3499,0.0059,-0.0059,0,0,,,0,90,,,0,0.015,0.002,-0.002,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6,0.01,-0.01,0,6,0.01,-0.01,0,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,0.7,,,0,,,,,8/27/2015,La Silla Observatory
HD 20794,e,HD 20794 e,Radial Velocity,0,4,147.02,1.43,-0.91,0,0.509,0.006,-0.006,0,0.29,0.14,-0.18,0,,,,,0.01501,0.00302,-0.00271,0,Msini,,,,,,,,,0,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6,0.01,-0.01,0,6,0.01,-0.01,0,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,0.7,,,0,,,,,6/8/2017,La Silla Observatory
HD 208487,b,HD 208487 b,Radial Velocity,0,1,130.08,0.51,-0.51,0,0.524,0.03,-0.03,0,0.24,0.16,-0.16,0,,,,,0.52,0.082,-0.082,0,Msini,,,,,,,,,0,0,0,0,21h57m19.85s,329.332703,-37d45m49.0s,-37.763622,44,2,-2,0,45.21,0.16,-0.16,0,7.471,0.012,0,V (Johnson),7.332,,0,6067,,,0,1.13,,,0,,,,,11/5/2014,Anglo-Australian Telescope
HD 208527,b,HD 208527 b,Radial Velocity,0,1,875.5,5.8,-5.8,0,2.1,0.2,-0.2,0,0.08,0.04,-0.04,0,,,,,9.9,1.7,-1.7,0,Msini,,,,,,,,,0,0,0,0,21h56m23.99s,329.099945,+21d14m23.5s,21.239859,314.48,11.06,-11.06,0,314.48,11.06,-11.06,0,6.4,,0,V (Johnson),5.597,,0,4035,65,-65,0,1.6,0.4,-0.4,0,51.1,8.3,-8.3,0,5/14/2014,Bohyunsan Optical Astronomical Observatory
HD 20868,b,HD 20868 b,Radial Velocity,0,1,380.85001,0.09,-0.09,0,0.95,0.02,-0.02,0,0.75,0,0,0,,,,0,1.25,0.59,-0.59,0,Msini,,,,0,,,,0,0,0,0,0,03h20m42.69s,50.177895,-33d43m48.4s,-33.730103,47.79,0.07,-0.07,0,47.79,0.07,-0.07,0,9.92,,0,V (Johnson),9.613,,0,4802,146,-146,0,0.39,0.27,-0.27,0,0.76,0.05,-0.05,0,9/6/2018,La Silla Observatory
HD 208897,b,HD 208897 b,Radial Velocity,0,1,352.7,1.7,-1.7,0,1.05,0.03,-0.03,0,0.07,0.06,-0.06,0,,,,0,1.4,0.08,-0.08,0,Msini,,,,0,,,,0,0,0,0,0,21h58m59.69s,329.748718,+19d01m13.1s,19.020302,64.68,2.26,-2.26,0,67.62,0.22,-0.22,0,6.51,,0,V (Johnson),6.232,,0,4860,100,-100,0,1.25,0.11,-0.11,0,4.98,0.2,-0.2,0,9/28/2017,Multiple Observatories
