pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HIP 65426,b,HIP 65426 b,Imaging,0,1,,,,0,92,,,0,,,,0,,,,0,9,3,-3,0,Mass,1.5,0.1,-0.1,0,,,,0,0,0,0,1,13h24m36.10s,201.150406,-51d30m16.1s,-51.504459,111.4,3.8,-3.8,0,109.21,0.75,-0.75,0,6.982,0.01,0,V (Johnson),6.983,,0,8840,200,-200,0,1.96,0.04,-0.04,0,1.77,0.05,-0.05,0,7/13/2017,Paranal Observatory
HIP 78530,b,HIP 78530 b,Imaging,0,1,,,,,740,60,-60,0,,,,,,,,,23,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h01m55.46s,240.481064,-21d58m49.4s,-21.980389,156.7,13,-13,0,,,,,7.192,0.011,0,V (Johnson),,,,10500,,,0,2.5,,,0,,,,,4/1/2015,Gemini Observatory
HIP 79098 AB,b,HIP 79098 AB b,Imaging,0,1,,,,0,345,6,-6,0,,,,0,,,,0,20.5,4.5,-4.5,0,Mass,,,,0,,,,0,0,0,0,0,16h08m43.72s,242.182175,-23d41m07.5s,-23.685415,146.3,2.5,-2.5,0,146.33,2.52,-2.52,0,5.86,0.01,0,V (Johnson),5.826,,0,,,,0,3.75,1.25,-1.25,0,,,,0,7/11/2019,Paranal Observatory
HN Peg,b,HN Peg b,Imaging,0,1,,,,,773,13,-13,0,,,,,,,,,21.9987,9.42803,-9.42803,0,Mass,1.051,0.136,-0.058,0,,,,,0,0,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.13,0.02,-0.02,0,18.13,0.02,-0.02,0,5.95,0.02,0,V (Johnson),5.811,,0,5974,,,0,1.1,,,0,1.04,,,0,5/14/2014,Spitzer Space Telescope
HR 2562,b,HR 2562 b,Imaging,0,1,,,,,20.3,0.3,-0.3,0,,,,,,,,,30,15,-15,0,Mass,1.11,0.11,-0.11,0,,,,,0,0,0,1,06h50m01.01s,102.504227,-60d14m56.9s,-60.249146,34.04,0.05,-0.05,0,34.04,0.05,-0.05,0,6.11,,0,V (Johnson),5.989,,0,,,,,1.3,,,0,,,,,9/8/2016,Gemini Observatory
HR 8799,b,HR 8799 b,Imaging,0,4,170000,,,0,68,,,0,,,,,,,,,7,4,-2,0,Mass,1.2,0.1,-0.1,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0,41.29,0.15,-0.15,0,5.953,0.01,0,V (Johnson),5.898,,0,7400,,,0,,,,0,,,,0,5/14/2014,Gemini Observatory
HR 8799,c,HR 8799 c,Imaging,0,4,69000,,,0,38,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0,41.29,0.15,-0.15,0,5.953,0.01,0,V (Johnson),5.898,,0,7400,,,0,,,,0,,,,0,5/14/2014,Gemini Observatory
HR 8799,d,HR 8799 d,Imaging,0,4,37000,,,0,24,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0,41.29,0.15,-0.15,0,5.953,0.01,0,V (Johnson),5.898,,0,7400,,,0,,,,0,,,,0,5/14/2014,W. M. Keck Observatory
HR 8799,e,HR 8799 e,Imaging,0,4,,,,0,16.4,2.1,-1.1,0,0.15,0.08,-0.08,0,25,8,-8,0,10,7,-4,0,Mass,1.17,0.13,-0.11,0,,,,0,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0,41.29,0.15,-0.15,0,5.953,0.01,0,V (Johnson),5.898,,0,7400,,,0,,,,0,,,,0,6/27/2019,W. M. Keck Observatory
LkCa 15,b,LkCa 15 b,Imaging,1,2,,,,,14.7,2.1,-2.1,0,,,,,50,,,0,,,,,,,,,,,,,,0,0,0,2,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,1.22,-1.22,0,158.87,1.22,-1.22,0,12.025,0.228,0,V (Johnson),11.589,,0,,,,,,,,,,,,,12/3/2015,Large Binocular Telescope Observatory
